,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_EMPLOYED,work_phone,phone,email,family_size,begin_month,credit,age
0,0,0,0,0,12.218500103788143,Commercial associate,Higher education,Married,Municipal apartment,4709,0,0,0,2.0,6.0,1.0,38
1,0,0,1,1,12.419169901386761,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1540,0,0,1,3.0,5.0,1.0,31
2,1,1,1,0,13.017005083966255,Working,Higher education,Married,House / apartment,4434,0,1,0,2.0,22.0,2.0,52
3,0,0,1,0,12.218500103788143,Commercial associate,Secondary / secondary special,Married,House / apartment,2092,0,1,0,2.0,37.0,0.0,41
4,0,1,1,0,11.967187086434018,State servant,Higher education,Married,House / apartment,2105,0,0,0,2.0,26.0,2.0,41
5,0,0,1,2,12.506180941677357,Working,Secondary / secondary special,Married,House / apartment,4996,0,0,1,4.0,18.0,1.0,36
6,0,0,0,0,12.660331092405906,Working,Secondary / secondary special,Separated,House / apartment,1978,0,0,1,1.0,41.0,2.0,48
7,1,0,1,0,12.506180941677357,Commercial associate,Secondary / secondary special,Married,House / apartment,5420,0,0,1,2.0,53.0,0.0,40
8,1,1,1,1,12.100717685412471,Commercial associate,Higher education,Married,House / apartment,1466,0,0,1,3.0,38.0,2.0,41
9,0,0,1,0,11.547336553476635,Working,Secondary / secondary special,Married,House / apartment,1308,0,0,0,2.0,5.0,2.0,43
10,0,0,1,0,12.173037959397275,Working,Secondary / secondary special,Separated,House / apartment,2213,1,1,1,1.0,40.0,2.0,52
11,1,1,1,1,11.813037464800539,Commercial associate,Higher education,Married,House / apartment,91,0,0,0,3.0,51.0,2.0,32
12,0,1,1,1,11.967187086434018,Commercial associate,Secondary / secondary special,Married,House / apartment,2162,0,0,0,3.0,60.0,0.0,32
13,0,0,0,0,11.813037464800539,Working,Higher education,Married,House / apartment,2474,0,1,0,2.0,41.0,2.0,27
14,0,0,1,0,11.967187086434018,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,1.0,41.0,2.0,62
15,1,1,1,2,11.967187086434018,Working,Secondary / secondary special,Married,With parents,4056,0,1,0,4.0,60.0,0.0,35
16,1,0,1,0,12.100717685412471,Working,Secondary / secondary special,Married,House / apartment,4553,0,1,0,2.0,2.0,1.0,53
17,1,0,0,0,12.506180941677357,Commercial associate,Secondary / secondary special,Civil marriage,With parents,984,0,0,1,2.0,14.0,2.0,24
18,0,0,1,0,12.283038316285214,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,2.0,37.0,2.0,63
19,0,0,1,0,12.100717685412471,Working,Secondary / secondary special,Married,House / apartment,6031,0,0,0,2.0,7.0,2.0,37
20,1,0,0,0,12.100717685412471,Working,Secondary / secondary special,Married,House / apartment,1753,0,1,0,2.0,35.0,2.0,54
21,0,0,0,0,11.967187086434018,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,2.0,7.0,2.0,58
22,0,0,0,0,11.967187086434018,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1357,0,0,0,2.0,22.0,0.0,41
23,1,1,0,0,12.323860125621126,Working,Secondary / secondary special,Married,Municipal apartment,444,1,1,1,2.0,18.0,2.0,39
